1,Ashtavinayak Yatra,1N/2D,"Ashtavinayaka (??????????) literally means ""Eight Ganeshas"" in Sanskrit. Ganesh is the Hinduism/Hindu deity of unity, prosperity & learning and removes obstacles. The term refers to eight Ganeshas. Ashtavinayaka yatratrip refers to a pilgrimage to the eight Hindu temples in Maharashtra state of India that house eight distinct idols of Ganesha, in a pre-ascertained sequence.",2499  ? / Per Person,http://www.travios.in/?p=865
2,Mini Kokan,2N/3D,"Kokan could be a synonym for natural beauty. With beaches, jungles, mountains and rivers, Kokan lies as a unique tourist spot in India. Kokan has 720 kms of beach. The rainfall in this area is about 300 inches a year. There are thick forests at one side and they contain all types of plants from fruits-bearing trees to herbal plants.
The mountains ooze streams of mineral water and they flow down like silver lines on the mountains. There are rivers, sea forts, excavations, and a lot more. ",3699 ? / Per Person,http://www.travios.in/?p=1605
3,Apratim Ajintha-Ellora,2N/3D,"The Ajanta Caves in Aurangabad district of Maharashtra state of India are about 30 rock-cut Buddhist cave monuments which date from the 2nd century BCE to about 480 or 650 CE. The caves include paintings and sculptures described by the government Archaeological Survey of India as ""the finest surviving examples of Indian art, particularly painting"", which are masterpieces of Buddhist religious art, with figures of the Buddha and depictions of the Jataka tales.
",3699 ? / Per Person,http://www.travios.in/?p=1657
4,Misty Mahableshwar,2N/3D,"Mahabaleshwar is a popular holiday resort and honeymoon spot, and an important pilgrimage site for Hindus. Boats on the Venna lake in Mahabaleshwar.The Venna lake is one of the major tourist attractions of Mahabaleshwar. The lake is surrounded by trees on all sides.",4499 ? / Per Person,http://www.travios.in/?p=824 
5,Unlimited Kokan,4N/5D,"Kokan could be a synonym for natural beauty. With beaches, jungles, mountains and rivers, Kokan lies as a unique tourist spot in India. Kokan has 720 kms of beach. The rainfall in this area is about 300 inches a year. There are thick forests at one side and they contain all types of plants from fruits-bearing trees to herbal plants.",7499  ?  / Per Person,http://www.travios.in/?p=1394 
6,Magical Malvan,2N/3D,"Malvan is a town in Sindhudurg District, the southernmost district of Maharashtra. This culturally and historically important town is a Taluka place in Sindhudurg District. Malvan taluka consists of villages like Aangnechi wadi, Achra, Khalchi Devli, Jamdul, Juva, Pankhol and Sarjekot. Malvan is wellknown for its historical monument, the Sindhudurg fort, which is beautiful and spread in a vast area.",4499 ? / Per Person,http://www.travios.in/?p=839
7,Nobel Nashik Saputra,2N/3D,"Saputara means the 'Abode of Serpents' and a snake image on the banks of the river Sarpaganga is worshiped by the Adivasis on Holi.This hill station is on a plateau in the Dang forest area of Western Ghats (Sahyadri) range at an altitude of about 900 metres.Saputara has been developed as a planned hill resort with amenities like hotels, parks, swimming pools, boat club, theaters, ropeways and a museum. It is 172 kilometres (km) from Surat and 250 km from Mumbai",3999 ?  / Per Person,http://www.travios.in/?p=1759
8,Tadoba-Hemalkasa,2N/3D,"Tadoba Andhari Tiger Reserve is a Tiger reserve in Chandrapur district of Maharashtra state in central India. It is notable as Maharashtra's oldest and largest National Park. It is one of India's 43 ""Project Tiger"" - Tiger reserves.",9499 ? / Per Person,http://www.travios.in/?p=1575
9,Nashik One Day Tour,1 D,Nashik is said to be the abode of Lord Rama during his 14 years in exile. It is located on the banks of the Godavari which originates in the south-west of the city at Trimbakeshwar. It is one of the four places in the world where the Kumbh Mela is held making it one of the holiest Hindu cities. The city is a site for more than 100 ancient temples including the Kalaram Temple and Trimbakeshwar Shiva Temple.,949  ? / Per Person,http://www.travios.in/?p=1453
1,Sizzling Shimala-Manali ,6N/7D,"Shimla, is the capital city of the Indian state of Himachal Pradesh, located in northern India. Shimla is bounded by Mandi and Kullu in the north, Kinnaur in the east, the state of Uttarakhand in the south-east, and Solan and Sirmaur to the south. Shimla acts as a hub for India's tourism sector.",17499 ? / Per Person,http://www.travios.in/?p=1423
